세그먼트,"c(대행수수료율, 가정)",월추정매출액합(경기도데이터 대입),지출가중 f(명목),"f_eff(a=0, BC망전량)","f_eff(a=37.8%, 실측대리)","f_eff(a=100%, 독자망전량)",현재a에서 월 대행수수료 유출액(원),a를 100%로 올릴 때 월 절감액(원),명목f 대비 실효f 잠식률(현재a)
cluster0,0.0005,903949503431,0.009177016099046167,0.008677016099046166,0.008866016099046166,0.009177016099046167,281128296,281128296,0.033889011051459854
cluster1,0.0005,429691277640,0.00817095097020508,0.007670950970205079,0.007859950970205079,0.00817095097020508,133633987,133633987,0.038061665176311155
cluster2,0.0005,4968809550578,0.008714141955800515,0.008214141955800515,0.008403141955800515,0.008714141955800515,1545299770,1545299770,0.03568911334901829
cluster0,0.001,903949503431,0.009177016099046167,0.008177016099046166,0.008555016099046167,0.009177016099046167,562256591,562256591,0.06777802210291951
cluster1,0.001,429691277640,0.00817095097020508,0.007170950970205079,0.007548950970205079,0.00817095097020508,267267975,267267975,0.0761233303526222
cluster2,0.001,4968809550578,0.008714141955800515,0.007714141955800515,0.008092141955800516,0.008714141955800515,3090599540,3090599540,0.07137822669803638
cluster0,0.0015,903949503431,0.009177016099046167,0.007677016099046167,0.008244016099046167,0.009177016099046167,843384887,843384887,0.10166703315437936
cluster1,0.0015,429691277640,0.00817095097020508,0.00667095097020508,0.007237950970205079,0.00817095097020508,400901962,400901962,0.11418499552893326
cluster2,0.0015,4968809550578,0.008714141955800515,0.007214141955800515,0.007781141955800515,0.008714141955800515,4635899311,4635899311,0.10706734004705468
cluster0,0.001942,903949503431,0.009177016099046167,0.007235016099046167,0.007969092099046168,0.009177016099046167,1091902300,1091902300,0.13162491892386974
cluster1,0.001942,429691277640,0.00817095097020508,0.006228950970205079,0.006963026970205079,0.00817095097020508,519034407,519034407,0.14783150754479227
cluster2,0.001942,4968809550578,0.008714141955800515,0.006772141955800515,0.007506217955800515,0.008714141955800515,6001944308,6001944308,0.1386165162475868
cluster0,0.002,903949503431,0.009177016099046167,0.007177016099046167,0.007933016099046166,0.009177016099046167,1124513182,1124513182,0.13555604420583922
cluster1,0.002,429691277640,0.00817095097020508,0.006170950970205079,0.006926950970205079,0.00817095097020508,534535949,534535949,0.1522466607052444
cluster2,0.002,4968809550578,0.008714141955800515,0.006714141955800515,0.007470141955800515,0.008714141955800515,6181199081,6181199081,0.14275645339607296
cluster0,0.0025,903949503431,0.009177016099046167,0.006677016099046166,0.007622016099046167,0.009177016099046167,1405641478,1405641478,0.16944505525729897
cluster1,0.0025,429691277640,0.00817095097020508,0.005670950970205079,0.006615950970205079,0.00817095097020508,668169937,668169937,0.19030832588155547
cluster2,0.0025,4968809550578,0.008714141955800515,0.0062141419558005145,0.007159141955800515,0.008714141955800515,7726498851,7726498851,0.17844556674509116
