업종,"c(대행수수료율, 가정)",r(기준혜택률),월추정매출액(경기도데이터 대입),현재a에서 월 대행수수료 유출액(원),f(명목),f_eff(현재a),a*_할인가능,남은격차_할인가능(%p),a*_threshold충족,남은격차_threshold(%p),g*(현재a),a 1%p 전환당 g* 변화(%p),판정_할인가능,판정_threshold
공공/기업/단체,0.002,0.003,88145003458,109652384,0.0208,0.019556,-7.9,-827.8000000000001,-4.899999999999999,-527.7999999999998,0.1812031891761295,-0.021889730511733447,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공연/전시,0.002,0.003,15175727605,18878605,0.0145,0.013256,-4.75,-512.8,-1.75,-212.8,0.29251170046801866,-0.05704206327379459,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
소매/유통,0.002,0.003,2476644199324,3080945384,0.0115,0.010256,-3.25,-362.8,-0.24999999999999933,-62.79999999999993,0.4134509371554576,-0.11396111828981742,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
의료/건강,0.002,0.003,1014311693549,1261803747,0.01,0.008756,-2.5,-287.8,0.5000000000000004,12.200000000000044,0.521195274496178,-0.18109634277143083,결제망 무관하게 이미 성립,독자망 추가 전환 필요
학문/교육,0.002,0.003,270121230760,336030811,0.01,0.008756,-2.5,-287.8,0.5000000000000004,12.200000000000044,0.521195274496178,-0.18109634277143083,결제망 무관하게 이미 성립,독자망 추가 전환 필요
음식,0.002,0.003,1217212289136,1514212088,0.004,0.0027559999999999998,0.5,12.2,3.5000000000000004,312.20000000000005,inf,,독자망 추가 전환 필요,독자망 100%로도 불가
생활서비스,0.002,0.003,952356848783,1184731920,0.004,0.0027559999999999998,0.5,12.2,3.5000000000000004,312.20000000000005,inf,,독자망 추가 전환 필요,독자망 100%로도 불가
여가/오락,0.002,0.003,150980617762,187819888,0.004,0.0027559999999999998,0.5,12.2,3.5000000000000004,312.20000000000005,inf,,독자망 추가 전환 필요,독자망 100%로도 불가
미디어/통신,0.0025,0.003,117502721273,182716732,0.0208,0.019244999999999998,-6.12,-649.8000000000001,-3.719999999999999,-409.7999999999999,0.18467220683287167,-0.02841985331376911,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공공/기업/단체,0.0025,0.003,88145003458,137065480,0.0208,0.019244999999999998,-6.12,-649.8000000000001,-3.719999999999999,-409.7999999999999,0.18467220683287167,-0.02841985331376911,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공연/전시,0.0025,0.003,15175727605,23598256,0.0145,0.012945000000000002,-3.5999999999999996,-397.79999999999995,-1.1999999999999997,-157.79999999999998,0.3016591251885369,-0.07583185650792781,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
소매/유통,0.0025,0.003,2476644199324,3851181730,0.0115,0.009944999999999999,-2.4000000000000004,-277.80000000000007,5.551115123125783e-16,-37.79999999999995,0.43196544276457893,-0.15549511978566558,결제망 무관하게 이미 성립,현재 독자망 비중으로 성립
의료/건강,0.0025,0.003,1014311693549,1577254683,0.01,0.008445000000000001,-1.7999999999999998,-217.79999999999998,0.6000000000000003,22.20000000000003,0.5509641873278236,-0.2529679464315076,결제망 무관하게 이미 성립,독자망 추가 전환 필요
학문/교육,0.0025,0.003,270121230760,420038514,0.01,0.008445000000000001,-1.7999999999999998,-217.79999999999998,0.6000000000000003,22.20000000000003,0.5509641873278236,-0.2529679464315076,결제망 무관하게 이미 성립,독자망 추가 전환 필요
음식,0.0025,0.003,1217212289136,1892765110,0.004,0.002445,0.6,22.199999999999996,3.0000000000000004,262.20000000000005,inf,,독자망 추가 전환 필요,독자망 100%로도 불가
생활서비스,0.0025,0.003,952356848783,1480914900,0.004,0.002445,0.6,22.199999999999996,3.0000000000000004,262.20000000000005,inf,,독자망 추가 전환 필요,독자망 100%로도 불가
여가/오락,0.0025,0.003,150980617762,234774861,0.004,0.002445,0.6,22.199999999999996,3.0000000000000004,262.20000000000005,inf,,독자망 추가 전환 필요,독자망 100%로도 불가
