매핑시나리오,"c(대행수수료율, 가정)",세그먼트,지출가중 f_seg,잠식률,잠식률순위(1=가장큼),순위
부분(저수수료 3개 업종만 한 단계 위),0.0005,cluster0,0.010944358075536833,0.028416467905518994,1,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0005,cluster1,0.010960462667272668,0.028374714593812606,3,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0005,cluster2,0.010953527803391327,0.028392679105969054,2,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.001,cluster0,0.010944358075536833,0.05683293581103799,1,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.001,cluster1,0.010960462667272668,0.05674942918762521,3,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.001,cluster2,0.010953527803391327,0.05678535821193811,2,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0015,cluster0,0.010944358075536833,0.08524940371655697,1,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0015,cluster1,0.010960462667272668,0.08512414378143782,3,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0015,cluster2,0.010953527803391327,0.08517803731790716,2,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.001942,cluster0,0.010944358075536833,0.11036956134503575,1,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.001942,cluster1,0.010960462667272668,0.11020739148236815,3,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.001942,cluster2,0.010953527803391327,0.11027716564758379,2,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.002,cluster0,0.010944358075536833,0.11366587162207598,1,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.002,cluster1,0.010960462667272668,0.11349885837525042,3,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.002,cluster2,0.010953527803391327,0.11357071642387621,2,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0025,cluster0,0.010944358075536833,0.14208233952759494,1,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0025,cluster1,0.010960462667272668,0.14187357296906303,3,cluster0 > cluster2 > cluster1
부분(저수수료 3개 업종만 한 단계 위),0.0025,cluster2,0.010953527803391327,0.14196339552984524,2,cluster0 > cluster2 > cluster1
